Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SC0,02/11/2019,15:00,Aberdeen,Kilmarnock,3,0,H,2,0,H,K Clancy,12,6,6,3,10,14,6,3,2,1,0,0
SC0,02/11/2019,15:00,Hamilton,Ross County,2,2,D,0,1,A,C Steven,9,9,3,5,16,17,8,6,2,3,1,0
SC0,02/11/2019,15:00,Motherwell,Livingston,2,1,H,0,0,D,E Anderson,10,9,5,5,12,11,3,5,1,2,0,0
SC0,09/11/2019,15:00,Hearts,St Mirren,5,2,H,3,2,H,E Anderson,11,13,6,5,16,6,8,4,0,0,0,0
SC0,09/11/2019,15:00,Kilmarnock,Hamilton,2,2,D,1,2,A,G Duncan,16,5,6,3,11,8,12,4,1,2,0,1
SC0,09/11/2019,15:00,Ross County,Aberdeen,1,3,A,1,1,D,A Newlands,4,15,3,6,13,13,3,7,2,1,0,0
SC0,09/11/2019,15:00,St Johnstone,Hibernian,1,4,A,0,2,A,A Dallas,7,15,3,6,9,7,4,4,1,0,0,0
SC0,10/11/2019,15:00,Celtic,Motherwell,2,0,H,1,0,H,A Muir,16,5,7,0,7,12,8,5,0,1,0,0
SC0,10/11/2019,15:00,Livingston,Rangers,0,2,A,0,1,A,N Walsh,5,13,2,4,17,10,1,4,3,0,0,0
SC0,23/11/2019,15:00,Celtic,Livingston,4,0,H,1,0,H,A Dallas,24,2,12,1,1,9,9,1,1,2,0,0
SC0,23/11/2019,15:00,Hibernian,Motherwell,3,1,H,2,1,H,J Beaton,10,11,6,4,14,10,1,10,3,2,0,0
SC0,23/11/2019,15:00,Kilmarnock,Hearts,3,0,H,3,0,H,B Madden,9,11,7,2,10,13,7,6,1,0,0,0
SC0,23/11/2019,15:00,St Mirren,Ross County,2,1,H,1,1,D,E Anderson,16,7,5,5,12,13,10,4,1,4,0,0
SC0,24/11/2019,12:15,Hamilton,Rangers,1,3,A,1,2,A,S McLean,8,17,3,8,11,8,4,9,2,2,0,0
SC0,24/11/2019,15:00,St Johnstone,Aberdeen,1,1,D,0,1,A,K Clancy,4,13,2,7,13,15,3,6,3,2,2,0
SC0,26/11/2019,19:45,St Mirren,Hibernian,1,2,A,0,1,A,A Newlands,13,4,3,2,13,12,7,2,1,4,0,0
SC0,30/11/2019,15:00,Aberdeen,St Mirren,2,1,H,1,1,D,S McLean,14,12,7,6,11,9,7,3,1,2,0,0
SC0,30/11/2019,15:00,Hibernian,Kilmarnock,2,2,D,1,0,H,K Clancy,20,6,10,4,9,9,7,2,1,1,0,0
SC0,30/11/2019,15:00,Livingston,Hamilton,0,0,D,0,0,D,W Collum,8,3,3,0,14,14,6,2,0,1,0,0
SC0,30/11/2019,15:00,Motherwell,St Johnstone,4,0,H,1,0,H,E Anderson,16,11,5,3,15,7,5,4,0,1,0,0
SC0,01/12/2019,12:00,Ross County,Celtic,1,4,A,1,2,A,N Walsh,2,19,2,7,12,8,0,11,1,2,0,0
SC0,01/12/2019,15:00,Rangers,Hearts,5,0,H,2,0,H,D Robertson,13,2,6,1,8,13,4,3,2,3,0,0
SC0,04/12/2019,19:45,Aberdeen,Rangers,2,2,D,1,2,A,J Beaton,8,13,5,8,19,8,2,8,2,2,0,0
SC0,04/12/2019,19:45,Celtic,Hamilton,2,1,H,1,0,H,A Muir,22,9,5,5,10,9,7,2,0,0,0,0
SC0,04/12/2019,19:45,Hearts,Livingston,1,1,D,0,1,A,G Aitken,19,8,9,3,13,14,5,5,0,4,0,0
SC0,04/12/2019,19:45,Kilmarnock,St Johnstone,0,0,D,0,0,D,B Madden,3,11,1,2,19,13,2,7,1,1,0,0
SC0,04/12/2019,19:45,Ross County,Hibernian,2,1,H,0,1,A,D Munro,10,14,6,5,10,7,2,8,3,2,0,0
SC0,04/12/2019,19:45,St Mirren,Motherwell,0,3,A,0,2,A,A Dallas,8,16,3,6,10,14,3,7,1,1,0,0
SC0,07/12/2019,15:00,Hamilton,St Mirren,0,1,A,0,0,D,D Robertson,4,16,1,5,13,14,10,6,1,3,1,0
SC0,07/12/2019,15:00,Hibernian,Aberdeen,3,0,H,0,0,D,C Steven,14,9,5,5,10,19,5,3,0,2,0,0
SC0,07/12/2019,15:00,Livingston,Kilmarnock,3,0,H,0,0,D,J Beaton,11,5,5,1,11,10,6,2,0,2,0,0
