Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,away_shots,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
03/11/01,Kilmarnock,Hibernian,0,0,D,0,0,D,8,5,3,4,3,11,13,15,0,4,0,0
03/11/01,Motherwell,Dunfermline,1,0,H,0,0,D,12,12,5,3,6,6,9,10,1,3,0,0
03/11/01,St Johnstone,Celtic,1,2,A,1,1,D,7,11,3,4,5,11,19,15,0,3,0,0
04/11/01,Rangers,Aberdeen,2,0,H,2,0,H,24,6,12,3,6,3,14,23,1,3,0,0
10/11/01,Aberdeen,Motherwell,1,0,H,1,0,H,9,10,6,4,6,7,13,18,1,1,0,0
10/11/01,Dundee United,Dunfermline,0,2,A,0,1,A,15,8,6,5,10,6,21,19,0,0,0,0
10/11/01,Hearts,Dundee,2,0,H,0,0,D,12,8,5,3,2,3,21,11,3,2,0,0
10/11/01,Kilmarnock,St Johnstone,0,1,A,0,1,A,10,7,5,4,6,7,9,15,1,2,0,0
17/11/01,Aberdeen,Hibernian,2,0,H,0,0,D,13,6,7,2,5,0,19,11,1,2,0,0
17/11/01,Dundee United,St Johnstone,2,1,H,0,0,D,11,8,3,3,2,8,17,18,2,1,1,1
17/11/01,Hearts,Celtic,0,1,A,0,1,A,7,4,4,3,7,10,21,18,0,2,0,0
17/11/01,Kilmarnock,Motherwell,2,0,H,1,0,H,19,6,8,2,7,5,19,14,1,1,0,0
17/11/01,Livingston,Dundee,1,0,H,0,0,D,9,11,5,2,3,4,6,13,1,2,1,1
17/11/01,Rangers,Dunfermline,4,0,H,1,0,H,17,5,9,2,6,1,14,16,0,1,0,4
24/11/01,Dundee,Hearts,1,1,D,0,1,A,8,6,5,3,8,4,11,12,0,0,0,0
24/11/01,Dunfermline,Dundee United,1,1,D,0,0,D,9,9,5,4,5,6,14,12,1,1,0,0
24/11/01,Hibernian,Livingston,0,3,A,0,2,A,13,10,5,4,6,5,13,15,1,1,0,0
24/11/01,Motherwell,Aberdeen,3,2,H,2,1,H,7,11,6,5,8,6,25,17,5,1,0,0
24/11/01,St Johnstone,Kilmarnock,1,0,H,1,0,H,14,9,6,3,4,7,13,12,3,4,0,0
25/11/01,Celtic,Rangers,2,1,H,0,0,D,6,8,4,3,3,9,15,14,2,3,0,0
01/12/01,Aberdeen,St Johnstone,1,0,H,1,0,H,14,8,8,3,2,4,17,18,1,0,0,0
01/12/01,Celtic,Hibernian,3,0,H,2,0,H,14,8,7,4,7,5,10,12,2,0,0,0
01/12/01,Dundee,Rangers,0,0,D,0,0,D,9,9,3,1,6,9,12,12,1,1,0,0
01/12/01,Hearts,Dunfermline,1,1,D,0,0,D,11,9,3,6,9,4,16,16,1,4,0,0
01/12/01,Kilmarnock,Dundee United,2,0,H,1,0,H,7,6,4,2,2,6,11,20,0,2,0,0
01/12/01,Livingston,Motherwell,3,1,H,3,0,H,10,8,8,5,7,4,17,18,1,3,0,0
08/12/01,Dundee United,Livingston,0,0,D,0,0,D,11,4,6,2,9,5,14,11,0,0,0,0
