Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SC0,30/12/2020,15:00,St Johnstone,Hamilton,0,0,D,0,0,D,D Munro,28,10,3,2,12,10,9,1,0,2,0,0
SC0,30/12/2020,15:00,St Mirren,Rangers,0,2,A,0,2,A,A Muir,8,10,3,3,15,13,6,1,2,1,0,0
SC0,30/12/2020,18:00,Hibernian,Ross County,0,2,A,0,1,A,D Robertson,13,6,4,4,10,20,8,5,2,1,0,0
SC0,30/12/2020,18:15,Motherwell,Kilmarnock,0,2,A,0,1,A,J Beaton,7,15,1,6,11,14,3,6,2,1,1,0
SC0,02/01/2021,12:30,Rangers,Celtic,1,0,H,0,0,D,B Madden,10,13,0,3,15,19,2,6,3,3,0,1
SC0,02/01/2021,15:00,Aberdeen,Dundee United,0,0,D,0,0,D,K Clancy,18,9,3,1,12,13,5,2,1,2,0,0
SC0,02/01/2021,15:00,Hamilton,Motherwell,3,0,H,1,0,H,C Steven,8,10,4,6,12,12,3,2,0,1,0,0
SC0,02/01/2021,15:00,Hibernian,Livingston,0,3,A,0,2,A,D Munro,5,12,1,6,11,13,5,4,1,1,0,0
SC0,02/01/2021,15:00,Kilmarnock,St Mirren,1,1,D,1,0,H,C Napier,9,8,3,1,15,14,7,7,3,2,0,0
SC0,02/01/2021,15:00,Ross County,St Johnstone,1,1,D,1,1,D,W Collum,10,14,5,6,13,8,10,0,2,2,0,0
SC0,09/01/2021,15:00,Kilmarnock,Hamilton,2,0,H,1,0,H,G Irvine,18,6,3,1,13,11,5,3,0,1,0,0
SC0,09/01/2021,15:00,St Mirren,Motherwell,1,1,D,0,1,A,B Madden,16,11,2,3,8,11,4,9,1,1,0,0
SC0,10/01/2021,15:00,Aberdeen,Rangers,1,2,A,0,1,A,J Beaton,4,17,2,7,19,7,1,6,2,1,1,0
SC0,10/01/2021,15:00,Livingston,Ross County,3,1,H,1,1,D,A Muir,12,6,4,2,12,17,2,1,1,5,0,0
SC0,11/01/2021,19:45,Celtic,Hibernian,1,1,D,0,0,D,N Walsh,10,16,6,7,9,15,3,10,1,2,0,0
SC0,12/01/2021,18:30,Dundee United,St Johnstone,2,2,D,1,2,A,C Steven,9,23,2,6,18,16,3,5,3,2,0,0
SC0,16/01/2021,15:00,Celtic,Livingston,0,0,D,0,0,D,J Beaton,7,15,1,1,12,10,2,9,1,2,0,0
SC0,16/01/2021,15:00,Hamilton,Dundee United,0,0,D,0,0,D,G Aitken,11,6,3,2,12,6,9,6,1,3,0,0
SC0,16/01/2021,15:00,Hibernian,Kilmarnock,2,0,H,0,0,D,W Collum,6,7,5,0,17,12,4,9,0,1,0,0
SC0,16/01/2021,15:00,Ross County,Aberdeen,4,1,H,2,1,H,B Madden,9,15,5,5,20,9,6,6,3,0,0,0
SC0,16/01/2021,15:00,St Johnstone,St Mirren,1,0,H,0,0,D,S McLean,8,5,2,0,16,12,4,2,2,0,0,1
SC0,17/01/2021,12:00,Motherwell,Rangers,1,1,D,1,0,H,D Robertson,5,16,3,5,10,9,1,10,3,1,0,0
SC0,20/01/2021,20:15,Livingston,Celtic,2,2,D,1,2,A,W Collum,6,18,2,6,10,10,4,7,0,0,0,1
SC0,23/01/2021,15:00,Aberdeen,Motherwell,2,0,H,1,0,H,C Napier,26,6,8,3,11,11,8,1,2,1,0,1
SC0,23/01/2021,15:00,Rangers,Ross County,5,0,H,3,0,H,W Anderson,28,7,11,2,12,11,11,2,1,2,0,0
SC0,27/01/2021,18:00,Dundee United,St Mirren,1,5,A,0,3,A,J Beaton,12,19,4,6,18,14,4,11,2,1,0,0
SC0,27/01/2021,18:00,Ross County,Motherwell,1,2,A,1,0,H,N Walsh,11,12,5,6,23,13,5,10,5,0,0,0
SC0,27/01/2021,18:00,St Johnstone,Aberdeen,0,0,D,0,0,D,D Robertson,8,16,2,3,22,15,2,6,1,1,0,0
SC0,27/01/2021,19:45,Celtic,Hamilton,2,0,H,1,0,H,C Steven,24,4,7,0,14,8,6,4,0,0,0,0
SC0,27/01/2021,19:45,Hibernian,Rangers,0,1,A,0,0,D,K Clancy,8,11,2,3,14,8,4,2,3,0,0,0
SC0,27/01/2021,19:45,Livingston,Kilmarnock,2,0,H,0,0,D,S Kirkland,12,5,3,2,8,11,10,0,2,3,0,0
SC0,30/01/2021,15:00,Celtic,St Mirren,1,2,A,1,2,A,B Madden,19,11,4,5,11,5,4,3,0,0,0,0
SC0,30/01/2021,15:00,Dundee United,Hibernian,0,2,A,0,1,A,G Duncan,10,12,3,5,12,14,5,5,0,1,0,0
SC0,30/01/2021,15:00,Kilmarnock,St Johnstone,2,3,A,2,0,H,G Aitken,13,15,5,6,9,10,2,12,1,1,0,0
SC0,30/01/2021,15:00,Livingston,Aberdeen,0,0,D,0,0,D,S McLean,6,9,2,2,16,13,3,2,1,0,0,0
SC0,02/02/2021,18:00,Aberdeen,Livingston,0,2,A,0,2,A,N Walsh,8,7,3,2,11,16,3,2,2,1,0,0
SC0,02/02/2021,18:00,St Mirren,Hibernian,1,2,A,0,0,D,A Muir,4,11,1,4,11,12,2,3,2,1,1,0
SC0,02/02/2021,19:45,Kilmarnock,Celtic,0,4,A,0,1,A,K Clancy,12,12,3,6,13,10,9,4,1,0,0,0
SC0,03/02/2021,18:00,Hamilton,Ross County,1,2,A,1,0,H,W Collum,7,16,4,5,13,6,4,7,1,2,0,0
SC0,03/02/2021,18:00,Motherwell,Dundee United,2,1,H,2,0,H,D Robertson,13,15,6,3,7,7,4,4,0,1,0,0
SC0,03/02/2021,19:45,Rangers,St Johnstone,1,0,H,0,0,D,D Munro,9,5,2,3,13,12,2,2,1,1,0,0
SC0,06/02/2021,15:00,Celtic,Motherwell,2,1,H,1,0,H,N Walsh,22,7,9,5,16,8,5,3,0,3,0,0
SC0,06/02/2021,15:00,Hibernian,Aberdeen,2,0,H,1,0,H,W Collum,11,11,5,1,12,8,3,5,1,0,0,0
