Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,away_shots,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
13/12/14,Motherwell,Ross County,2,2,D,0,1,A,6,20,3,8,8,13,1,11,0,0,0,0
14/12/14,Celtic,St Mirren,4,1,H,3,1,H,22,4,13,1,14,8,8,2,0,0,0,0
20/12/14,Aberdeen,Kilmarnock,1,0,H,0,0,D,18,8,5,3,12,7,3,4,1,2,0,0
20/12/14,Partick,Dundee,1,1,D,0,0,D,13,8,3,1,15,8,2,4,3,2,0,0
20/12/14,Ross County,Hamilton,0,1,A,0,1,A,9,10,2,3,11,12,3,5,0,1,0,0
20/12/14,St Johnstone,Inverness C,1,0,H,0,0,D,9,10,4,4,14,20,8,2,0,3,0,1
20/12/14,St Mirren,Motherwell,0,1,A,0,0,D,10,5,4,2,8,15,9,2,2,3,1,0
21/12/14,Dundee United,Celtic,2,1,H,1,0,H,6,17,6,7,10,9,6,5,1,1,0,0
27/12/14,Celtic,Ross County,0,0,D,0,0,D,14,3,4,1,10,9,15,1,1,4,0,0
27/12/14,Dundee,St Mirren,1,3,A,0,1,A,9,10,6,4,8,13,11,5,1,3,1,0
27/12/14,Kilmarnock,Hamilton,1,0,H,0,0,D,10,15,8,7,11,13,3,7,1,1,0,0
27/12/14,Motherwell,Partick,1,0,H,1,0,H,2,1,2,0,2,11,4,8,1,2,0,0
27/12/14,St Johnstone,Dundee United,2,1,H,0,1,A,8,12,5,3,10,8,7,0,1,1,0,0
28/12/14,Inverness C,Aberdeen,0,1,A,0,1,A,17,10,6,3,13,10,7,5,1,1,0,0
01/01/15,Aberdeen,St Johnstone,2,0,H,1,0,H,16,5,7,3,17,9,8,4,0,2,0,0
01/01/15,Dundee United,Dundee,6,2,H,4,1,H,17,8,10,5,9,13,4,4,1,4,0,0
01/01/15,Hamilton,Motherwell,5,0,H,2,0,H,20,3,8,0,7,4,5,4,0,0,0,0
01/01/15,Ross County,Inverness C,1,3,A,0,1,A,9,16,1,7,19,15,3,9,5,2,0,0
01/01/15,St Mirren,Kilmarnock,1,2,A,0,0,D,8,9,1,5,17,19,5,3,2,3,1,1
04/01/15,Dundee,Ross County,1,1,D,0,0,D,17,4,3,2,10,14,6,4,2,2,0,1
04/01/15,Inverness C,St Mirren,1,0,H,0,0,D,16,7,5,2,12,10,6,3,1,1,0,0
04/01/15,Motherwell,Aberdeen,0,2,A,0,1,A,7,14,2,5,9,4,3,7,1,0,1,0
04/01/15,Partick,Dundee United,2,2,D,2,1,H,11,9,7,3,13,10,6,2,4,3,0,0
04/01/15,St Johnstone,Hamilton,0,1,A,0,1,A,5,14,2,5,13,14,8,5,2,2,1,0
05/01/15,Kilmarnock,Celtic,0,2,A,0,1,A,6,19,2,5,8,7,4,9,2,2,0,0
10/01/15,Dundee,Motherwell,4,1,H,3,1,H,21,3,10,1,4,14,11,6,0,3,0,1
10/01/15,Kilmarnock,Inverness C,1,2,A,0,0,D,6,7,1,4,9,6,6,7,3,1,0,1
10/01/15,St Mirren,Aberdeen,0,2,A,0,2,A,15,10,4,6,8,8,5,6,1,0,0,0
12/01/15,Hamilton,Dundee United,2,3,A,0,1,A,10,15,5,6,24,11,4,5,2,3,0,0
17/01/15,Aberdeen,Dundee,3,3,D,1,2,A,15,7,7,7,10,6,9,1,0,2,0,0
17/01/15,Hamilton,Celtic,0,2,A,0,1,A,12,16,3,7,11,9,6,6,2,2,0,0
17/01/15,Ross County,St Mirren,1,2,A,0,1,A,12,10,7,3,5,10,11,2,2,0,0,1
17/01/15,St Johnstone,Partick,2,0,H,1,0,H,5,4,2,2,9,11,3,4,1,1,0,0
20/01/15,Inverness C,St Johnstone,2,0,H,2,0,H,14,2,9,0,7,12,2,8,0,4,0,0
21/01/15,Celtic,Motherwell,4,0,H,2,0,H,17,2,7,0,2,4,5,2,0,1,0,0
21/01/15,Dundee,Kilmarnock,1,0,H,1,0,H,8,5,2,4,7,14,2,4,1,5,0,0
21/01/15,Partick,Hamilton,5,0,H,2,0,H,12,8,8,1,5,8,9,4,1,2,0,0
21/01/15,St Mirren,Dundee United,1,1,D,1,1,D,13,11,6,3,11,8,11,8,1,2,0,0
23/01/15,St Johnstone,Aberdeen,1,1,D,1,0,H,15,18,5,5,12,16,2,5,4,3,0,0
24/01/15,Dundee United,Motherwell,3,1,H,0,0,D,14,6,10,3,9,9,13,0,1,0,0,0
24/01/15,Hamilton,Inverness C,0,2,A,0,0,D,3,8,2,7,19,5,6,4,1,2,0,0
24/01/15,Kilmarnock,Partick,2,2,D,1,1,D,7,12,2,6,7,15,10,3,0,0,0,0
24/01/15,Ross County,Celtic,0,1,A,0,0,D,11,15,3,2,5,23,4,4,1,3,0,0
24/01/15,St Mirren,Dundee,1,2,A,1,0,H,8,12,3,7,9,13,8,4,1,2,1,0
30/01/15,Partick,St Mirren,0,1,A,0,1,A,10,5,5,2,13,8,6,3,2,2,0,0
31/01/15,Dundee,Hamilton,1,1,D,0,0,D,11,8,3,3,10,17,9,7,2,4,0,1
31/01/15,Inverness C,Ross County,1,1,D,1,0,H,13,11,5,1,16,12,10,2,3,2,0,0
31/01/15,Motherwell,St Johnstone,1,1,D,0,1,A,3,8,3,3,10,11,2,6,0,0,1,0
07/02/15,Aberdeen,Ross County,4,0,H,1,0,H,14,3,9,3,12,12,3,2,2,2,0,0
07/02/15,Hamilton,Kilmarnock,0,0,D,0,0,D,16,7,6,4,16,10,1,2,2,2,0,0
11/02/15,Partick,Celtic,0,3,A,0,2,A,9,12,3,6,9,14,3,5,0,0,0,0
14/02/15,Dundee,Partick,1,0,H,0,0,D,8,7,2,0,12,17,4,10,1,3,0,0
14/02/15,Kilmarnock,Dundee United,3,2,H,1,2,A,10,5,6,2,9,14,3,5,3,2,0,0
14/02/15,Ross County,Motherwell,3,2,H,1,0,H,11,7,7,6,13,15,8,7,4,1,0,0
14/02/15,St Johnstone,Celtic,1,2,A,0,1,A,9,19,7,8,8,17,5,9,2,2,0,0
14/02/15,St Mirren,Inverness C,1,2,A,0,1,A,7,14,3,6,12,17,5,5,0,2,0,0
15/02/15,Hamilton,Aberdeen,0,3,A,0,2,A,9,17,4,10,8,10,5,11,0,0,1,0
21/02/15,Aberdeen,St Mirren,3,0,H,1,0,H,16,8,4,3,11,8,4,1,0,0,0,0
21/02/15,Dundee United,St Johnstone,0,2,A,0,2,A,8,5,0,4,10,12,11,3,2,0,0,0
21/02/15,Inverness C,Kilmarnock,3,3,D,2,2,D,9,7,5,6,11,20,10,4,1,3,0,0
21/02/15,Motherwell,Dundee,0,1,A,0,1,A,4,6,1,4,17,12,5,7,1,0,0,0
21/02/15,Partick,Ross County,1,3,A,0,1,A,13,10,3,6,16,11,3,6,2,3,0,0
22/02/15,Celtic,Hamilton,4,0,H,0,0,D,22,1,12,0,4,6,13,2,0,2,0,0
24/02/15,Dundee United,Inverness C,1,1,D,0,1,A,8,7,4,3,17,16,2,2,3,4,1,1
28/02/15,Dundee United,Partick,0,2,A,0,2,A,4,8,1,3,9,12,5,2,1,0,0,0
28/02/15,Motherwell,Inverness C,2,1,H,0,0,D,14,10,4,1,12,11,8,4,1,3,1,0
28/02/15,Ross County,Dundee,1,0,H,0,0,D,11,5,5,0,14,11,4,1,2,1,0,0
