Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
17/11/12,Aberdeen,Celtic,0,2,A,0,0,D,6,11,2,3,12,7,2,7,0,0,0,0
17/11/12,Dundee,Hibernian,3,1,H,1,0,H,15,10,10,6,10,14,12,1,0,2,0,0
17/11/12,Hearts,St Mirren,1,0,H,0,0,D,9,6,3,3,16,14,10,2,0,2,0,0
17/11/12,St Johnstone,Ross County,1,1,D,0,0,D,8,7,3,2,9,11,9,1,1,3,0,0
18/11/12,Inverness C,Motherwell,1,5,A,0,2,A,9,16,5,10,4,12,3,8,0,0,0,0
24/11/12,Celtic,Inverness C,0,1,A,0,0,D,11,7,3,3,11,8,7,2,2,2,0,0
24/11/12,Hibernian,Aberdeen,0,1,A,0,0,D,16,8,3,2,4,13,9,2,0,0,0,0
24/11/12,Kilmarnock,St Johnstone,1,2,A,0,1,A,6,16,3,9,12,14,5,5,0,5,1,0
24/11/12,Motherwell,Hearts,0,0,D,0,0,D,9,8,5,5,11,9,4,8,1,1,0,0
24/11/12,Ross County,Dundee United,1,2,A,0,0,D,8,11,5,8,13,13,3,7,1,0,0,0
24/11/12,St Mirren,Dundee,3,1,H,1,0,H,14,5,7,2,12,8,9,3,1,0,0,1
27/11/12,Aberdeen,Inverness C,2,3,A,1,1,D,10,7,5,3,15,12,7,3,3,1,0,0
27/11/12,Dundee United,Motherwell,1,2,A,1,2,A,16,8,10,5,11,7,9,7,0,1,0,0
27/11/12,Ross County,St Mirren,0,0,D,0,0,D,8,13,1,6,14,10,4,9,1,1,0,0
28/11/12,Hearts,Celtic,0,4,A,0,3,A,13,9,9,5,9,13,7,1,1,3,0,0
28/11/12,St Johnstone,Hibernian,0,1,A,0,0,D,12,5,10,1,11,12,14,2,2,4,1,0
08/12/12,Hearts,Aberdeen,2,0,H,1,0,H,11,11,7,4,8,13,9,11,0,2,0,0
08/12/12,Inverness C,Hibernian,3,0,H,1,0,H,9,1,7,1,10,14,4,2,0,0,0,0
08/12/12,Kilmarnock,Celtic,1,3,A,0,1,A,5,19,3,10,11,8,5,12,3,2,0,0
08/12/12,Motherwell,Ross County,3,2,H,1,1,D,8,9,5,6,7,9,5,5,0,1,0,0
08/12/12,St Mirren,St Johnstone,1,1,D,0,1,A,16,7,4,2,8,15,11,1,2,2,0,2
09/12/12,Dundee,Dundee United,0,3,A,0,1,A,4,8,2,5,9,11,6,5,1,2,0,0
15/12/12,Aberdeen,Kilmarnock,0,2,A,0,1,A,11,5,2,2,14,16,6,2,2,3,1,0
15/12/12,Celtic,St Mirren,2,0,H,1,0,H,17,3,10,1,3,7,14,2,0,1,0,0
15/12/12,Dundee United,Inverness C,4,4,D,3,2,H,3,5,2,5,6,7,4,7,3,2,0,0
15/12/12,Hibernian,Motherwell,2,3,A,1,0,H,9,12,5,5,10,6,1,12,2,1,1,0
15/12/12,Ross County,Dundee,1,1,D,0,1,A,12,9,7,4,10,10,9,2,2,2,0,0
15/12/12,St Johnstone,Hearts,2,2,D,1,2,A,8,10,6,4,15,10,6,2,2,4,0,0
21/12/12,St Mirren,Motherwell,2,1,H,2,0,H,17,18,10,12,3,4,8,14,1,0,0,0
22/12/12,Aberdeen,St Johnstone,2,0,H,0,0,D,19,4,10,1,7,13,9,7,0,0,0,0
22/12/12,Celtic,Ross County,4,0,H,0,0,D,13,7,9,4,5,12,4,4,1,3,0,0
22/12/12,Inverness C,Dundee,4,1,H,2,1,H,8,8,5,3,15,10,6,6,0,0,0,0
23/12/12,Hearts,Dundee United,2,1,H,2,0,H,9,16,4,7,15,12,7,4,1,3,0,0
23/12/12,Kilmarnock,Hibernian,1,1,D,1,1,D,11,10,8,6,14,12,6,6,0,3,0,0
26/12/12,Dundee,Celtic,0,2,A,0,1,A,16,10,8,7,6,11,7,9,1,1,0,0
26/12/12,Dundee United,St Johnstone,1,1,D,1,0,H,3,7,1,5,6,7,7,6,4,3,0,0
26/12/12,Hibernian,Ross County,0,1,A,0,0,D,12,3,4,3,13,11,6,1,2,2,0,0
26/12/12,Inverness C,St Mirren,2,2,D,1,1,D,17,10,7,2,9,12,4,5,0,3,0,0
26/12/12,Kilmarnock,Hearts,1,0,H,1,0,H,3,10,1,4,11,7,2,6,2,3,0,0
26/12/12,Motherwell,Aberdeen,4,1,H,3,1,H,12,13,7,6,6,8,7,6,1,1,0,0
29/12/12,Dundee,Aberdeen,1,3,A,0,0,D,11,12,4,7,9,5,4,5,0,3,0,0
29/12/12,Hibernian,Celtic,1,0,H,1,0,H,6,14,2,7,10,9,2,6,3,1,0,0
29/12/12,Motherwell,Kilmarnock,2,2,D,0,1,A,20,7,13,6,10,11,11,5,1,1,0,0
29/12/12,St Johnstone,Inverness C,0,0,D,0,0,D,10,4,4,1,8,15,6,5,1,3,0,0
30/12/12,Dundee United,St Mirren,3,4,A,2,1,H,9,7,5,6,10,10,8,4,0,2,1,0
02/01/13,Aberdeen,Dundee United,2,2,D,1,2,A,13,7,7,3,8,12,7,5,1,0,0,0
02/01/13,Celtic,Motherwell,1,0,H,0,0,D,18,8,10,2,4,7,12,5,4,2,0,0
02/01/13,St Johnstone,Dundee,1,0,H,1,0,H,6,5,2,1,14,13,4,4,2,2,0,0
02/01/13,St Mirren,Kilmarnock,1,1,D,0,1,A,14,4,8,2,9,12,8,4,1,2,0,0
03/01/13,Hearts,Hibernian,0,0,D,0,0,D,7,6,2,2,14,12,13,1,0,3,0,0
19/01/13,Celtic,Hearts,4,1,H,2,0,H,13,3,9,2,9,6,8,2,0,2,0,0
19/01/13,Hibernian,Dundee,1,1,D,0,1,A,14,9,7,5,14,15,8,0,1,1,0,0
19/01/13,Inverness C,Aberdeen,3,0,H,0,0,D,11,9,6,4,11,12,4,3,1,4,0,0
19/01/13,Kilmarnock,Dundee United,2,3,A,1,1,D,7,7,3,4,10,6,6,9,1,0,0,0
19/01/13,St Mirren,Ross County,1,4,A,0,1,A,8,15,5,11,6,10,4,4,1,1,0,0
