Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
07/04/14,Hibernian,Aberdeen,0,2,A,0,1,A,4,7,0,2
18/04/14,Inverness C,Aberdeen,0,0,D,0,0,D,11,11,4,3
19/04/14,Hearts,Ross County,2,0,H,0,0,D,6,5,4,3
19/04/14,Kilmarnock,Partick,1,2,A,0,0,D,11,9,4,3
19/04/14,Motherwell,Celtic,3,3,D,2,1,H,10,18,5,8
19/04/14,St Johnstone,Dundee United,2,0,H,1,0,H,11,8,5,2
19/04/14,St Mirren,Hibernian,2,0,H,2,0,H,7,14,4,4
25/04/14,Partick,St Mirren,1,1,D,1,1,D,14,8,5,3
26/04/14,Aberdeen,St Johnstone,1,1,D,1,1,D,12,8,7,2
26/04/14,Dundee United,Motherwell,5,1,H,2,0,H,13,5,8,1
26/04/14,Ross County,Kilmarnock,2,1,H,1,0,H,11,11,9,5
27/04/14,Celtic,Inverness C,6,0,H,2,0,H,24,10,10,4
27/04/14,Hibernian,Hearts,1,2,A,0,2,A,12,7,6,5
03/05/14,Celtic,Aberdeen,5,2,H,2,1,H,15,9,9,5
03/05/14,Hibernian,Partick,1,1,D,0,1,A,11,10,4,6
03/05/14,Inverness C,Dundee United,1,1,D,1,0,H,7,17,2,5
03/05/14,Motherwell,St Johnstone,2,1,H,2,1,H,8,6,5,2
03/05/14,St Mirren,Ross County,1,0,H,0,0,D,14,9,7,2
04/05/14,Hearts,Kilmarnock,5,0,H,3,0,H,11,10,7,2
06/05/14,Dundee United,Aberdeen,1,3,A,1,1,D,9,10,4,4
06/05/14,Ross County,Hibernian,1,0,H,0,0,D,10,18,3,5
07/05/14,Hearts,Partick,2,4,A,2,1,H,6,15,2,9
07/05/14,Kilmarnock,St Mirren,1,0,H,1,0,H,14,11,7,4
07/05/14,Motherwell,Inverness C,2,1,H,2,0,H,7,9,2,3
07/05/14,St Johnstone,Celtic,3,3,D,1,0,H,12,12,5,7
10/05/14,Hibernian,Kilmarnock,0,1,A,0,1,A,13,9,4,5
10/05/14,Partick,Ross County,2,3,A,0,1,A,11,7,5,4
10/05/14,St Mirren,Hearts,1,1,D,1,0,H,11,8,5,5
11/05/14,Aberdeen,Motherwell,0,1,A,0,0,D,8,4,2,2
11/05/14,Celtic,Dundee United,3,1,H,0,0,D,12,7,8,2
11/05/14,Inverness C,St Johnstone,2,0,H,0,0,D,6,3,6,3
