Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H
SC0,03/11/2018,Celtic,Hearts,5,0,H,3,0,H,J Beaton,17,3,10,1,11,14,6,2,0,3,0,0,1.25
SC0,03/11/2018,Hamilton,Livingston,1,0,H,0,0,D,A Muir,8,11,5,1,13,19,1,4,3,2,1,0,2.9
SC0,03/11/2018,Hibernian,St Johnstone,0,1,A,0,0,D,N Walsh,11,10,3,5,15,10,5,5,3,0,0,0,1.57
SC0,03/11/2018,Motherwell,Dundee,1,0,H,0,0,D,D Robertson,13,2,4,0,18,13,6,4,3,1,0,0,1.66
SC0,03/11/2018,St Mirren,Rangers,0,2,A,0,0,D,W Collum,6,20,3,4,11,10,4,7,3,2,0,1,15
SC0,04/11/2018,Kilmarnock,Aberdeen,1,2,A,1,0,H,B Madden,13,2,3,2,15,17,3,4,2,1,0,0,2.87
SC0,09/11/2018,Aberdeen,Hibernian,1,0,H,1,0,H,A Muir,6,10,1,1,11,16,4,6,0,3,0,0,2.3
SC0,10/11/2018,Dundee,St Mirren,1,1,D,1,1,D,B Madden,12,4,5,3,12,10,7,2,1,3,0,0,2.5
SC0,10/11/2018,Hearts,Kilmarnock,0,1,A,0,0,D,D Robertson,13,9,3,4,12,13,4,4,3,1,0,0,2.1
SC0,10/11/2018,St Johnstone,Hamilton,4,0,H,2,0,H,S McLean,20,4,6,0,11,23,2,2,1,4,0,0,1.8
SC0,11/11/2018,Livingston,Celtic,0,0,D,0,0,D,K Clancy,7,17,2,6,15,4,4,9,2,0,0,0,13
SC0,11/11/2018,Rangers,Motherwell,7,1,H,3,1,H,C Thomson,18,6,11,1,9,19,10,0,0,1,0,1,1.36
SC0,24/11/2018,Hamilton,Celtic,0,3,A,0,1,A,D Robertson,2,17,0,4,12,8,3,6,3,0,0,0,15
SC0,24/11/2018,Hibernian,Dundee,2,2,D,2,1,H,G Aitken,10,5,4,4,14,7,5,5,3,1,0,0,1.44
SC0,24/11/2018,Motherwell,Aberdeen,3,0,H,2,0,H,J Beaton,12,11,7,6,15,14,4,6,1,1,0,0,3.4
SC0,24/11/2018,Rangers,Livingston,3,0,H,1,0,H,N Walsh,18,8,6,2,6,14,8,5,2,0,0,0,1.3
SC0,24/11/2018,St Johnstone,Kilmarnock,0,0,D,0,0,D,W Collum,10,9,3,1,8,11,3,5,0,1,0,0,2.5
SC0,24/11/2018,St Mirren,Hearts,2,0,H,0,0,D,C Thomson,8,9,6,1,19,9,3,4,2,0,0,0,5.25
SC0,01/12/2018,Kilmarnock,Hibernian,3,0,H,2,0,H,C Thomson,10,6,4,3,5,12,2,1,0,1,0,0,2.7
SC0,01/12/2018,Livingston,Motherwell,2,0,H,1,0,H,E Anderson,8,2,3,1,14,17,5,3,1,2,0,0,2.5
SC0,01/12/2018,St Mirren,Hamilton,1,3,A,1,2,A,K Clancy,22,7,4,4,15,12,6,2,1,3,1,0,2.25
SC0,02/12/2018,Hearts,Rangers,1,2,A,1,2,A,B Madden,5,17,2,8,17,12,5,10,0,1,0,1,4.5
SC0,05/12/2018,Dundee,Hamilton,4,0,H,1,0,H,J Beaton,14,11,5,3,7,6,5,4,1,2,0,0,2.25
SC0,05/12/2018,Hibernian,St Mirren,2,2,D,0,1,A,E Anderson,12,4,5,2,16,12,4,3,4,3,0,0,1.4
SC0,05/12/2018,Kilmarnock,Livingston,2,0,H,2,0,H,B Madden,10,9,4,4,9,15,6,3,0,2,0,0,1.83
SC0,05/12/2018,Motherwell,Celtic,1,1,D,0,1,A,K Clancy,6,8,3,4,18,7,3,4,3,0,0,0,10
SC0,05/12/2018,Rangers,Aberdeen,0,1,A,0,1,A,S McLean,11,3,4,3,21,16,9,1,2,1,1,1,1.53
SC0,05/12/2018,St Johnstone,Hearts,2,2,D,1,2,A,A Dallas,11,8,5,3,11,19,4,1,3,3,0,0,2.62
SC0,08/12/2018,Aberdeen,St Johnstone,0,2,A,0,0,D,D Robertson,11,6,4,4,7,12,2,5,1,3,0,0,1.8
SC0,08/12/2018,Celtic,Kilmarnock,5,1,H,4,0,H,N Walsh,20,9,11,5,14,13,5,4,2,3,0,0,1.2
SC0,08/12/2018,Hamilton,Hibernian,0,1,A,0,0,D,B Madden,7,14,2,10,12,16,1,6,2,1,0,0,5
SC0,08/12/2018,Hearts,Motherwell,1,0,H,1,0,H,W Collum,9,11,4,4,13,13,4,6,0,1,0,0,1.75
SC0,08/12/2018,Livingston,St Mirren,3,1,H,0,1,A,A Dallas,10,3,4,3,12,9,4,2,1,1,0,0,1.75
SC0,09/12/2018,Dundee,Rangers,1,1,D,1,1,D,A Muir,4,6,2,3,7,11,3,9,1,2,1,0,11
SC0,11/12/2018,Aberdeen,Livingston,3,2,H,1,2,A,C Thomson,18,3,8,3,7,14,9,1,1,2,0,0,1.8
SC0,14/12/2018,Livingston,Hearts,5,0,H,0,0,D,N Walsh,13,8,6,0,15,12,4,1,1,1,0,1,3.1
SC0,15/12/2018,Kilmarnock,Dundee,3,1,H,0,0,D,K Clancy,18,5,8,2,9,9,5,3,0,2,0,0,1.53
SC0,15/12/2018,St Johnstone,Motherwell,1,2,A,0,2,A,A Muir,10,10,4,6,8,19,11,6,1,4,0,0,2.04
SC0,15/12/2018,St Mirren,Aberdeen,1,2,A,1,1,D,G Aitken,2,13,2,6,17,11,2,6,4,2,0,0,5
SC0,16/12/2018,Hibernian,Celtic,2,0,H,1,0,H,D Robertson,7,12,6,4,13,6,4,8,0,2,0,0,6
SC0,16/12/2018,Rangers,Hamilton,1,0,H,1,0,H,E Anderson,15,2,5,1,13,9,22,2,1,2,0,0,1.16
SC0,18/12/2018,Aberdeen,Dundee,5,1,H,2,0,H,N Walsh,16,2,10,2,15,10,8,1,1,3,0,0,1.44
SC0,19/12/2018,Celtic,Motherwell,3,0,H,3,0,H,B Madden,13,2,7,0,5,13,5,3,0,2,0,0,1.18
SC0,19/12/2018,Hibernian,Rangers,0,0,D,0,0,D,C Thomson,7,19,1,8,13,10,1,11,2,1,0,0,3.5
SC0,22/12/2018,Aberdeen,Hearts,2,0,H,1,0,H,J Beaton,11,4,3,1,18,15,5,0,2,2,0,1,2
SC0,22/12/2018,Celtic,Dundee,3,0,H,1,0,H,E Anderson,27,3,14,1,6,6,10,1,0,1,0,0,1.12
SC0,22/12/2018,Hamilton,Kilmarnock,1,1,D,1,1,D,B Madden,6,13,3,4,17,12,3,6,3,0,0,0,5
SC0,22/12/2018,Hibernian,Livingston,1,1,D,0,0,D,G Aitken,16,10,8,4,13,12,6,2,1,3,0,0,1.8
SC0,22/12/2018,Motherwell,St Mirren,0,1,A,0,0,D,D Robertson,4,3,2,2,11,6,9,5,1,0,0,0,1.66
SC0,23/12/2018,St Johnstone,Rangers,1,2,A,1,0,H,N Walsh,9,14,3,5,12,13,3,3,3,2,0,0,6
SC0,26/12/2018,Aberdeen,Celtic,3,4,A,1,1,D,W Collum,8,12,4,7,17,14,2,3,3,1,0,0,6
SC0,26/12/2018,Dundee,Livingston,0,0,D,0,0,D,B Madden,15,10,5,1,6,7,8,7,2,0,0,1,3.6
SC0,26/12/2018,Hearts,Hamilton,2,0,H,2,0,H,D Robertson,15,4,4,1,8,11,5,6,2,0,0,1,1.55
SC0,26/12/2018,Motherwell,Kilmarnock,0,1,A,0,1,A,S McLean,6,16,0,3,16,13,2,7,2,1,1,0,2.75
SC0,26/12/2018,Rangers,Hibernian,1,1,D,1,0,H,A Dallas,10,7,4,2,9,12,7,3,0,2,0,0,1.5
SC0,26/12/2018,St Mirren,St Johnstone,0,1,A,0,0,D,K Clancy,7,8,1,3,6,11,3,6,0,1,0,0,3.25
SC0,29/12/2018,Dundee,St Johnstone,0,2,A,0,1,A,D Robertson,7,19,1,11,10,7,2,6,3,1,0,0,3.8
SC0,29/12/2018,Hamilton,Motherwell,1,2,A,1,1,D,N Walsh,8,13,2,4,12,17,1,8,1,3,0,0,3.1
SC0,29/12/2018,Hibernian,Hearts,0,1,A,0,1,A,K Clancy,16,8,4,5,11,14,11,2,1,2,0,0,2
SC0,29/12/2018,Kilmarnock,St Mirren,2,1,H,2,1,H,W Collum,12,3,4,1,8,12,5,3,1,2,0,0,1.5
SC0,29/12/2018,Livingston,Aberdeen,1,2,A,0,0,D,S McLean,7,11,2,3,16,11,5,6,0,0,0,0,3
SC0,29/12/2018,Rangers,Celtic,1,0,H,1,0,H,J Beaton,14,7,7,1,15,17,9,4,1,3,0,0,3.75
